,HoldingCompanyName,HocoNum
716,Ayrshire Farmers Mutual Telephone Company,130088
717,The Toledo Telephone Company,131347
718,"Blue Valley Tele-Communications, Inc.",130144
719,"E-Vergent.com, LLC",160115
720,LTC Communications Inc.,130761
721,"Action Communications, Inc.",130010
722,"CP-Tel Holdings, Inc.",130362
723,"Baldwin Telecom, Inc.",130093
724,Grand Mound Cooperative Telephone Association,130559
725,Bloomer Telephone Company,130138
726,SDWisp,300136
727,Mountain Mesh,300095
728,Razer Wireless inc.,300123
729,Alma Communications Company,130043
730,"Gila River Telecommunications, Inc.",130542
731,Aristotle,270012
732,Lehigh Valley Telephone Cooperative Association,130732
733,Paul Bunyan Rural Telephone Cooperative,131014
734,"Midstate Communications, Inc. (ND)",130827
735,Signal West LLC,310063
736,Reynolds Cable TV Inc.,230039
737,Farmers Mutual Telephone Company (OH),130481
738,"Telenational Communications, Inc.",190360
739,Midwest Energy Cooperative,300091
740,"Taylor Telephone Cooperative, Inc.",131296
741,The Champaign Telephone Company,131329
742,Hopkinsville Electric System,190187
743,"Southwest Arkansas Telephone Cooperative, Inc.",131232
744,Big Sandy Broadband Inc.,240008
745,Surry Telephone Membership Corporation,131283
746,"Public Service Communications, Inc.",131076
747,"OrbitCom, Inc.",190276
748,"Brazos Telephone Cooperative, Inc.",130153
749,Farmers & Merchants Mutual Telephone Company,130472
750,"Miles Enterprises, Inc.",130838
751,Wilkes Telecommunications,131486
752,Iowa Connect Inc.,150272
753,Federated Telephone Cooperative,130494
754,Public Utility District No. 1 of Douglas County,190303
755,Multi-Path Networks Inc.,230029
756,"Excel.Net, Inc.",270038
757,Kennedy Cablevision Inc.,190213
758,Signal Point Holdings Corp.,260067
759,"Virginia Broadband, LLC",300169
760,"Konceptio Data Services, LLC",230025
761,"RidgeTop Internet, LLC",300126
762,"Project Mutual Telephone Cooperative Association, Inc.",131075
763,"Stowe Cablevision, Inc.",240090
764,"Logan Telephone Cooperative, Inc.",130754
765,Nelson County Cablevision Corp.,240064
766,"Plains Cooperative Telephone Association, Inc.",131049
767,"G5 Internet, LLC",260019
768,MicroTek-Solutions LLC,300090
769,Starlite Consulting Inc.,190341
770,"laser image, Inc.",220076
771,"LaHarpe Telephone Company, Inc.",130711
772,Shawnee Telephone Company,131180
773,Dakota Central Telecommunications Cooperative,130387
774,Wiggins Telephone Association,131481
775,"Pierce Telecommunications, Inc.",131037
776,"Wisper, II LLC",280067
777,"Micrologic, Inc.",130817
778,"Horizon Cable TV, Inc.",280078
779,"Avenue Broadband Holdings, Inc.",170016
780,Craner Technology Services,210109
781,SMS llc,300137
782,"Nicholville Telephone Company, Inc.",130920
783,"Believe Wireless, LLC",290016
784,Telecommunications Management LLC,131306
785,"VARCOMM, Inc.",131416
786,Webster-Calhoun Cooperative Telephone Association,131457
787,"HillBilly Wireless Internet, Inc.",230062
788,Northland Communications Corp.,150292
789,Service One Cable,270072
790,"Northwest Missouri Holdings, Inc.",131226
791,Lincolnville Telephone Company,130745
792,ALTIUS Communications LLC,290009
793,Scio Mutual Telephone Association,131168
794,Marshall Municipal Utilities,300087
795,Oneida County Rural Telephone,130976
796,Oquaga Lake Cable System Inc.,240075
797,Golden Valley Cable & Communications Inc.,280026
798,Winn Telephone Company,131493
799,Connectto Communications Inc.,190107
800,"National Voice & Data, LLC",300102
801,City of Wilson,210019
802,Innovative Objects,300178
803,Ace Telephone Association,130008
804,TV Cable of Rensselaer & Winamac,170105
805,Paragould Light and Water Commission,180041
806,"Dycom Holding, Inc.",131485
807,Oak Run Associates Ltd.,190275
808,"City of Richmond, Indiana",270023
809,"Chesapeake Bay Communications, LLC",310020
810,"Wes-Tex Telephone Cooperative, Inc.",131476
811,Maximum Broadband Solutions,300088
812,Southeast Colorado Power Association,230043
813,ABRY Partners,130079
814,"USA Companies, L.P.",131404
815,"Collins Communications, Inc.",250028
816,Sac County Mutual Telephone Company,131146
817,CVALiNK Broadband,290035
818,"Lexsar Solutions, Inc.",260027
819,Broadlinc Communications LLC,300023
820,RadioWire.net,220056
821,"Murray Wireless Internet, Inc.",290125
822,"Combined Technologies, Inc.",130316
823,Montana Opticom LLC,240061
824,"Moapa Valley Telecommunications, Inc.",150287
825,"Western Communications, Inc.",270099
826,"San Carlos Apache Telecommunications Utility, Inc.",190428
827,"Tel-Star Cablevision, Inc.",190365
828,"West Kentucky Rural Telephone Cooperative Corporation, Inc.",131462
829,Nittany Media Inc.,190265
830,"Margaretville Telephone Company, Inc.",130780
831,Mechanicsville Telephone Company,130803
832,Succeed.Net,260052
833,Algona Municipal Utilities,130035
834,Desert Winds Wireless LLC,270032
835,"Falcon Broadband, Inc.",190145
836,AMG Technology Investment Group,290010
837,"Franklin Telephone Co., Inc.",130514
838,Q Comm Corporation,131081
839,Unwired LLC,290109
840,"Twin Valley Management, Inc.",140092
841,Silver Star Telephone,131190
842,Texoma Broadband,310071
843,"SkyWerx Industries, LLC",190328
844,Yellowstone Media Design,150341
845,Columbia Energy LLC,270027
846,"Impulse Internet Services, LLC",270051
847,Xtream Internet,310085
848,"Kinex Networking Solutions, Inc.",130696
849,"Bush-Tell, Inc.",150229
850,Palmer Wireless,210060
851,Borough of Kutztown,280010
852,"Keene Valley Video, Inc.",130690
853,"M.C. Dean, Inc.",150344
854,Eagle One Wireless,280071
855,"Baca Valley Telephone Company, Inc.",130090
856,"Community Telephone Co., Inc.",130327
857,Coldwater Board of Public Utilities,190096
858,RACC2000,300122
859,Cirra Networks,300029
860,"E. Ritter Communications Holdings, Inc.",130427
861,Mayfield Electric & Water Systems,150281
862,Southern Ohio Communication Services Inc.,190335
863,Rural Communications Holding Corporation,130142
864,"Highland Telephone Cooperative, Inc. (KY & TN)",131611
865,Mobile Communications Service of Bowling Green Inc.,190249
866,"MNWireless, LLC",150286
867,Texas Broadband Inc,300158
868,"Electric Plant Board of the City of Glasgow, KY",130446
869,Ampersand Technologies LLC,310006
870,Wireless Investments LLC,240106
871,WIRELESS INTERNET CORP,300172
872,"Ogden Communications, Inc.",160135
873,"Pickwick Cablevision, Inc.",131035
874,Coast Communications Co. Inc.,130303
875,DCTexas Internet,260016
876,"Home Telephone Company, Inc. (SC)",130617
877,Spanish Fork City,260069
878,Pennsylvania Telephone Company,131027
879,"Vermont National Telephone Company, Inc.",131426
880,"PeakWiFi, LLC",300117
881,"New Paris Telephone Company, Inc.",130905
882,Mutual Telephone Company (IA),130877
883,Tohono O'Odham Utility Authority,131357
884,"Simply Bits, LLC",131191
885,"KC Online, Inc.",170102
886,"Kremmling Technology Services, LLC",300081
887,River Delta Wireless,300129
888,Rebeltec Communications LLC,190313
889,MLGC,130856
890,"Sweetwater Television Company, Inc.",190347
891,Community Cable Television Agency of O'Brien County,190101
892,same as company above,310094
893,"City of Elberton, Georgia",180012
894,"Geneva On-Line, Inc.",190169
895,"DigitalPath, Inc.",190123
896,City of Bellevue,190080
897,Pitcairn Borough,290078
898,Davis Communications Inc.,240031
899,"Range Telephone Cooperative, Inc.",131090
900,Allband Communications Cooperative,160103
901,Buggs Island Telephone Cooperative,130175
902,"Neu Ventures, Inc.",240068
903,"Pasty.net,Inc.",300116
904,Fusion Media,300059
905,OACYS Technology,130967
906,Gaslight Media,300061
907,"Michigan Access, Inc.",190241
908,S&B Technology Consultants,300133
909,DWL Holding Company,130425
910,"PCI Systems, Inc.",131017
911,"ATIS, Inc.",290011
912,Trenton Telephone Co.,131365
913,Cedar Falls Municipal Communications Utility,130218
914,"Network Professionals, Inc.",310052
915,Hudson Valley Wireless,190188
916,"Farmers Telephone Company, Inc.",130487
917,"Middle Penninsula Gateway Communications, Inc.",250056
918,"West Texas Rural Telephone Coop., Inc.",131466
919,"Southeast Communications Services, LLC",260068
920,Griggs County Telephone Company,130856
921,"Hidden Lake Wireless, Inc.",190185
922,Rico Telephone Company,131111
923,Rio Cities,300128
924,Socket Telecom LLC,150316
925,ShoreWaves,290089
926,"Inside Connect Cable, LLC",190443
927,"Guadalupe Valley Telephone Cooperative, Inc.",130578
928,"Northern Wireless Communications, Inc.",250062
929,WiSouth Networks LLC,250087
930,BelWave Communications,300017
931,Community Fiber Network LLC,170033
932,"Webb Wireless, LLC",300174
933,Cumberland Telephone Company,130374
934,"Smart City Finance, LLC",131204
935,La Canada Wireless Association,130707
936,Sky Valley Network LLC,270073
937,"Sumner Cable TV, Inc.",190448
938,Bolt Internet,240009
939,City of Opelika,290028
940,"WireFree Communications, Inc.",270101
941,Lynch Interactive Corporation,160127
942,SpeedConnect LLC,260050
943,FractalVision,280024
944,RJB Telecommunications Corp.,131118
945,Bluewave Communications,130620
946,Western Iowa Telephone Association,131472
947,Farmers Mutual Telephone Company (ID),130479
948,"Fourway Computer Products, Inc.",220027
949,SightLine Wireless,300143
950,"RST Global Communications, LLC",260043
951,BrazosWiFi,280011
952,"DMCI Broadband, LLC",290039
953,"USConnect Holdings, Inc.",300192
954,VoiceLite,240102
955,EATEL Corp.,130432
956,CTI Network,300027
957,Zirkel Wireless,280068
958,"Sound Internet Services, Inc.",290093
959,ALSAT Wireless,280007
960,Harney Education Service District,220030
961,Minnesota Valley Television Improvement Corporation,190244
962,Cable Co-Op,190071
963,"Cable Communications of Willsboro, Inc.",190069
964,Verso Networks,310079
965,Stewart Computer Services,230044
966,Battles Xtreme Networks,260063
967,"Airosurf Communications, Inc.",300008
968,"Basin 2 Way Radio, Inc.",300016
969,FTXNetworks LLC,300056
970,"Cherry Capital Connection, LLC",210018
971,"Central Valley Broadband, LLC",250026
972,Niagara Community TV Cooperative,230031
973,"Interstate Wireless, Inc.",290057
974,Western Elite Incorporated Services,130651
975,AWC LLC,310009
976,"Air Wave Communications, LLC",250008
977,Western Sonoma County Internet Cooperative Corporation,131473
978,"The Tahlequah, LLC",290121
979,LARIAT,280073
980,LakeNet LLC,250050
981,Windfield Enterprises,300078
982,"Electronic Corporate Pages, Inc.",290042
983,Countrywide Wireless LLC,300039
984,"Bear River Communications, LLC",290015
985,"ECSIS.NET, LLC",160116
986,The North-Eastern Pennsylvania Telephone Company,131341
987,Hickory Tech Corporation,130335
988,"MVWiFi, LLC",210017
989,Blu Sky Wireless,260004
990,Extreme Broadband,290048
991,"Tekify, LLC",280057
992,"Community Internet Systems, Inc. (NE)",130326
993,"Quantum Telecommunications, Inc.",190305
994,"Poka Lambro Telephone Cooperative, Inc.",131055
995,Eastlight L.C. dba Natel,300101
996,"Atwood Cable Systems, Inc.",130084
997,Westgate Communications LLC,190406
998,Balatize,290127
999,"North Texas Broadband, LLC",240072
1000,"Freedom Wireless Broadband, LLC",190160
1001,"Cal.net, Inc.",270020
1002,CIS LLC,220013
1003,New Source Broadband,310053
1004,Golden Rain Foundation,190172
1005,Kittitas Broadband,300080
1006,TecInfo,150323
1007,"Troy Cablevision, Inc.",190380
1008,COQUITEL LLC,310029
1009,LISCO,300083
1010,BounceLinx,290019
1011,Athena Broadband,300011
1012,DiMan Systems,190124
1013,MesquitoNet,220082
1014,LVWifi.com,210105
1015,Veloxnet Inc.,280063
1016,"InnovativeAir, LLC",290054
1017,Independence Light and Power,130641
1018,"Brevard Wireless, Inc.",240010
1019,La Motte Telephone Company,130709
1020,"Gamewood, Inc.",150262
1021,City of Coffeyville,190083
1022,"Orbitel Communications, LLC",150295
1023,Choicetel LLC,180009
1024,"Ballard Rural Telephone Cooperative Corporation, Inc.",130094
1025,Brazoria Telephone Company,130152
1026,NexGenAccess Inc.,130914
1027,"Mountain Rural Telephone Cooperative Corporation, Inc.",130865
1028,"Panhandle Telephone Cooperative, Inc.",131007
1029,"Allen's TV Cable Service, Inc.",130039
1030,The Circuit's Edge,131331
1031,Warm Springs Telecommunications Company,260070
1032,"Taos Net, LLC",290099
1033,"Mercury Wireless, Inc.",190236
1034,"WEHCO Video, Inc.",150334
1035,"Huntleigh Telecommunications Group, Inc.",190189
1036,Smiling J LLC,290092
1037,"Salsgiver, Inc.",300139
1038,Bryan Family Inc.,130171
1039,North Country Broadband,300110
1040,"New Hope Telephone Cooperative, Inc. (AL)",130902
1041,Full Service Network LP,220028
1042,Terral Telephone Company,131320
1043,VVD Funding LLC,300168
1044,"Gateway Telecom, LLC",170048
1045,Northwest Communications Cooperative,130950
1046,TELE-PAGE Inc.,290103
1047,"CCI Systems, Inc.",190070
1048,"Florida Cable, Inc.",190158
1049,City of Auburn,180010
1050,"Crestone Telecom, LLC",270029
1051,Consolidated Broadband Systems LLC,310028
1052,Southern Tier Wireless,190336
1053,Cloud Alliance LLC,190093
1054,"Clarence Telephone Company, Inc.",130285
1055,Wabash Mutual Telephone Company,131444
1056,Alyrica,270011
1057,Columbus Telephone Company,130314
1058,"Western Broadband Holdings, Inc.",131470
1059,CCAonline,300026
1060,none,300031
1061,Alamo Broadband Inc.,290007
1062,Fidelity Communications Company,130497
1063,"Southern Cayuga County Cablevision, LLC",190334
1064,"Peoples Telephone Cooperative, Inc./Peoples FiberCom",131031
1065,Connecting Point,300037
1066,Shenandoah Telecommunications Company,131181
1067,Acquistions Cogecco Cable Holdings II Inc.,280001
1068,ComSouth Corporation,130334
1069,Getwireless.net,270045
1070,Internet Communications Inc,300070
1071,Benton Ridge Telephone Company,130116
1072,"Syringa Networks, LLC",190349
1073,"Chaffee County Telecom, LLC",310019
1074,Siuslaw Broadband,300144
1075,"Dell Telephone Cooperative, Inc.",130400
1076,Wyoming.Com,250090
1077,"Adak Eagle Enterprises, LLC",130011
1078,Bethesda Wireless,270016
1079,"Computers, Electronics, Office Etc.",300036
1080,"Southeastern Services, Inc.",160151
1081,"Surf Air Wireless, LLC",310066
1082,"PATHWAYZ Communications, Inc.",131011
1083,Clearsky Systems Inc.,270025
1084,Grand County Internet Services Inc.,290051
1085,"Virginia Everywhere, LLC",300170
1086,"Night Owl Wireless, LLC",300107
1087,Electronics Service Company of Hamlet,300053
1088,"Worldnet Telecommunications, Inc.",150339
1089,Town of Shrewsbury,131361
1090,Millennium Telcom LLC,130841
1091,"XSTREAM WIRELESS, LLC",300176
1092,Mutual Telephone Company of Morning Sun,130878
1093,Lycom Communications,130764
1094,"Kaplan Telephone Company, Inc.",130685
1095,Broadtech,300183
1096,City of Longmont,280014
1097,"Big Bend Telephone Co., Inc.",130123
1098,Benton Rural Electric Association,190419
1099,"South Central Telephone Association, Inc.",131218
1100,"California Oregon Broadcasting, Inc.",190073
1101,Alteva Inc.,131902
1102,Scott County Telephone Cooperative,131170
1103,"Telefonica International Holding, BV",131308
1104,TeleGuam Holdings LLC,131309
1105,"Richon, Inc.",300125
1106,4 SIWI LLC,190501
1107,Yukon Tech Inc.,190417
1108,"WaveDivision Holdings, LLC",131454
1109,COMMUNITY COMMUNICATIONS COMPANY,300184
1110,"Fisher Wireless Services, Inc.",190155
1111,"Buford Media Group, LLC",150227
1112,"Fox Valley Internet, Inc.",130513
1113,"Express Dial Internet, Inc.",200019
1114,"North Olympic Peninsula Data Centers, LLC",230033
1115,Orchard Wireless,270068
1116,"TerraNovaNet, Inc.",160162
1117,Coulee Internet Services Company,310030
1118,"BEH Communications, LLC",300181
1119,Trinity Cable LLC,250078
1120,Tele System Services,290100
1121,"NTS, Inc.",150340
1122,Rocky Ridge Wireless,220058
1123,San Diego Broadband,290088
1124,City of Morganton,220016
1125,"Integrity Wireless, LLC",240115
1126,"North Branch Networks, LLC",190268
1127,"Hocking Internet Technologies, Ltd.",300065
1128,Prestige Broadband LLC,310056
1129,Video Direct,290112
1130,TexasData,220064
1131,"Ridgetop Networks, LLC",250066
1132,"Electronic Solutions, Inc.",200066
1133,JMZ Corporation,290058
1134,SkyWirez,290090
1135,"Lone Pine Television, Inc.",240055
1136,"Community Antenna System, Inc.",240025
1137,"Whiz to Coho, Inc.",150336
1138,Lafayette City Parish Consolidated Government,190219
1139,"Sonic Spectrum, Inc.",270076
1140,"Kudu Systems, LLC",300082
1141,AllureTech/Coffeynet,210006
1142,"CKS Management, Inc.",200012
1143,"KanOkla Telephone Association, Inc.",130684
1144,"J & N Cable Systems, Inc.",130672
1145,"Valnet Holdings, LLC",240099
1146,Atlantic Tele-Network,130081
1147,Lindalink LLC,250052
1148,Burlington Telecom,190066
1149,City of Williamstown,190089
1150,Ripflo Network,310060
1151,Gervais Telephone Company,130539
1152,"Cape Ann Communications, Inc.",310016
1153,Network Computers L L C,300105
1154,Edgar Rental Corporation,210095
1155,Cheyenne River Sioux Tribe Telephone Authority,130243
1156,"Eastland Internet, Inc",310037
1157,Wave Wireless LLC,131453
1158,1958,300185
1159,InfoStructure Inc.,130648
1160,Bspeedy Wireless Inc.,290021
1161,demopolis catv,310033
1162,"Vantage Telecom, LLC",230074
1163,Beehive Telephone Companies,130106
1164,"Beamspeed, L.L.C.",130103
1165,"Jagwire Enterprises, INC.",220032
1166,Visual Link,310081
1167,"DSLbyAir, LLC",310035
1168,Chaparral Holding Co. Inc.,240017
1169,RC Wireless,300187
1170,101Netlink,190002
1171,"Callis Communications, Inc.",131302
1172,County of Nelson,310031
1173,"Bulldog Cable Georgia, LLC",200010
1174,Chugwater Telephone Company,130251
1175,"Data Truck, LLC",160113
1176,RidgeComms,290081
1177,"Central Nevada Communications and Electric, LLC",270113
1178,"AiroComm, LLC",310004
1179,"Ragland Telephone Company, Inc.",131086
1180,"Internet Consulting Services, LLC",300186
1181,Banc Central Financial Services Corp.,280009
1182,Webhiway Communications LLC,270115
1183,"Router12 Networks, LLC",300131
1184,WideRange,280066
1185,"Door County Broadband, LLC.",300047
1186,Central Missouri Computer Services Inc.,280013
1187,Eastern Shore of Virginia Broadband Authority,300049
1188,"Cruzio Holdings, LLC",300043
1189,Bridger Cable TV,240011
1190,Henderson Municipal Power & Light,190184
1191,AirLink Internet Services,240003
1192,Cyber Broadband Inc.,250035
1193,Viking Broadband Inc.,240100
1194,"Valliant Telephone Company, Inc.",131412
1195,"Tnet Broadband Internet, LLC",290108
1196,Brookwood Ventures LLC,200009
1197,Community Telecom Services,190102
1198,City of Fort Valley,180013
1199,Bertram Communications LLC,260003
1200,Northwest Telephone Cooperative,130953
1201,"Two-Way Radio Service, Inc.",200044
1202,Arizona Nevada Tower Corporation,250100
1203,Future Technologies,290050
1204,"Teklinks, Inc.",270086
1205,Helmsco Inc,310042
1206,"Eagle Communications, Inc.",130429
1207,"Bailey Cable TV, Inc.",270015
1208,"Jo-Carroll Energy, NFP",300074
1209,"Lobo Internet Services, Ltd.",250053
1210,"Mountain Communications, LLC",240062
1211,"Precision Data Solutions, LLC",210063
1212,Eastern Cable Corporation,160118
1213,"2Geton Net, Inc.",160101
1214,Interlakes Wireless LLC,300194
1215,"DerbyTech, Inc.",130402
1216,"Colane Cable TV, Inc.",240024
1217,"Indian Creek Internet Services, Inc.",190193
1218,Mountain Area Information Network,190252
1219,"Redburn Infrastructure, LLC",310059
1220,Slanetelcom,270075
1221,"Gutierrez-Palmenberg, Inc.",300063
1222,Casa Grande Internet,270022
1223,GOES,130548
1224,"WTC Communications, Inc.",140106
1225,SkytechBB Internet,300146
1226,Braintree Electric Light Department,130149
1227,Kraus Electronics Systems Inc.,130705
1228,Loudoun Wireless LLC,300195
1229,e-Tel,190142
1230,"Bee Creek Communications, Inc.",130105
1231,Mile High Networks,280035
1232,"rNetworks, LLC",300180
1233,"Wikstrom Telephone Company, Inc.",131482
1234,Town of Russell,240092
1235,Kramer Ceilley and Associates,310049
1236,Innovative Tech Pros,310044
1237,"Greenfield Communications, Inc.",190177
1238,"Maximum Communications Cellular, LLC",210052
1239,"Ken-Tenn Wireless, L.L.C.",190503
1240,"Southern Coastal Cable, LLC",240088
1241,BySky Inc.,220012
1242,Western WiMAX LLC,220074
1243,"Skywave Wireless, Inc.",270074
1244,"Terra Nova Telecom, Inc.",270105
1245,"Mahaska Communication Group, LLC",130774
1246,City of Salisbury,310021
1247,"Telephone Associates, Inc.",210075
1248,Village of Moose Lake,290113
1249,"TV Cable Company of Andalusia, Inc.",170086
1250,"Conifer Communications, Inc.",310027
1251,"ADT Systems, Inc.",300004
1252,Cherokee Telephone Company,130240
1253,"ABG Wireless, LLC",200068
1254,"RGW Communications, Inc./Suburban Cable",230076
1255,Oklahoma Western Telephone Company,130973
1256,"Public Utility District #2 of Grant County, WA",240110
1257,Encore Business Systems,300199
1258,Landmark Wireless LLC,190220
1259,SMR Communications,260049
1260,Unwired Ltd.,131400
1261,"Velocity Broadband Internet, Inc.",270096
1262,"Splash Wireless Internet, LLC",290097
1263,Empyre Wireless LLC,270036
1264,Savage Communications Inc.,190323
1265,"UnwiredWest, LLC",250080
1266,E.L. Automation Inc.,310036
1267,"Nysys Wireless, LLC",240074
1268,"Siouxland Wireless, LLC",300197
1269,"Fastnet Wireless, LLC",280072
1270,Slopeside Internet LLC,300147
1271,JQ Production,290059
1272,CMS Internet LLC,170025
1273,Volcano Communications Company,131441
1274,Surfnet Communications,310067
1275,"Hopi Telecommunications, Inc.",140043
1276,Scranton Telephone Company,131171
1277,City of Ocala,330013
1278,"Block Line Systems, LLC",310090
1279,"Great Basin Internet Services, Inc.",230017
1280,City of North Kansas,150237
1281,Buckland Telephone Co.,150225
1282,"CornerStone Telephone Company, LLC",190109
1283,"CalNeva Broadband, LLC",240014
1284,DM-Tech Inc.,290123
1285,Chatmoss Cablevision,130237
1286,"Indco Cable TV, Inc.",230021
1287,Taloga Cable,131295
1288,"A Better Wireless, NISP, LLC",290005
1289,Anvil,300010
1290,QualityLife Intergovernmental Agency,200039
1291,Daviess-Martin County RTC,130393
1292,"LTC Holding Company, Inc.",130762
1293,Wire Tele View Corp.,200048
1294,Gunby Communications Inc.,250045
1295,Invisalink Wireless Enterprises LLC,190200
1296,DayStarr LLC,240032
1297,"Aeneas Communications, LLC",190015
1298,"NewWays Networking, LLC",190263
1299,Venus Telephone Corporation,131423
1300,"Crystal Automation Systems, Inc.",230010
1301,"Respond Communications, Inc.",131104
1302,"Raw Bandwidth Telecom, Inc.",200041
1303,Surge Communications,270112
1304,Templeton Telephone Company,131315
1305,Ptera Inc,310058
1306,St. Olaf College,150320
1307,MI Connection Communications System,190239
1308,"Cyberdyne Networks, Inc.",230011
1309,Bristol Bay Telephone Cooperative,130160
1310,"Kentec Communications, Inc.",130692
1311,"XIT Rural Telephone Cooperative, Inc.",131512
1312,"Defiance Holdings, LLC",140064
1313,Netwurx,220048
1314,"Velocity Telephone, Inc.",140097
1315,Jackson Energy Authority,170058
1316,"Mid-Rivers Telephone Cooperative, Inc.",130826
1317,"Southeast Nebraska Communications, Inc.",131223
1318,Western Wahkiakum County Telephone Company,131475
1319,St. Paul Cooperative Telephone,131248
1320,"Centre TV, Inc.",240016
1321,"Powhatan Point Cable Co., Inc.",240077
1322,Total Highspeed LLC,260056
1323,Royce's Electronics Inc.,300132
1324,"Razzo Link, Inc.",190311
1325,"InfoWest, Inc.",170054
1326,"Bluespan Wireless, LLC",300019
1327,Spencer Municipal Communications Utility,131239
1328,"StarVision, Inc.",131255
1329,"Marquette-Adams Telephone Cooperative, Inc.",130783
1330,"Arkwest Communications, Inc.",130070
1331,"Westelcom Network, Inc.",131469
1332,United Communication Holding LLC,131396
1333,COLI Inc.,130309
1334,Fishers Island Telephone Company,170044
1335,"North West Net, Inc.",180038
1336,"Traceroad, Inc.",131363
1337,"Totah Communications, Inc.",131359
1338,Filer Mutual Telephone Company,140033
1339,"D & P Communications, Inc.",130385
1340,TOTE Holdings LLC,130315
1341,The Ridgeville Telephone Company,131344
1342,West Alabama TV Cable Company Inc.,230075
1343,North Carolina Wireless,130927
1344,City of Windom,130283
1345,"Southwestern Wireless, Inc.",270078
1346,McDonald County Telephone Company,130798
1347,Pioneer Telephone Holding Company,131047
1348,FiberComm L.C.,190150
1349,"SS Ventures, Inc",300138
1350,"Sunflower Enterprises, Inc.",131272
1351,"Moundville Communications, Inc.",130861
1352,Vaughnsville Telephone Company,131418
1353,"Zito Media, LP",160157
1354,SmartBurst LLC,290091
1355,Whidbey Telephone Company,131478
1356,"Decatur Holding Company, Inc.",130395
1357,"Tularosa Basin Telephone Company, Inc.",131383
1358,"NEPSK, Inc.",130891
1359,"Postco, Inc.",131060
1360,"Sonic Telecom, LLC",190425
1361,"D D & B, Inc.",130386
1362,"Clarity Telecom, LLC DBA Vast Broadband",310023
1363,Roome Telecommunications Inc.,131130
1364,Lincoln Telephone Company,130744
1365,"Alenco Communications, Inc.",130034
1366,Cloverland Electric Cooperative,260008
1367,"Border to Border Communications, Inc.",140016
1368,"American Georgetown, Inc.",131226
1369,City of Brookings Telephone Fund,130271
1370,"Rural Telephone Service Co., Inc.",131141
1371,Skyline Telephone Membership Corporation,131199
1372,Climax Telephone Company,130299
1373,"Richland-Grant Telephone Cooperative, Inc.",131109
1374,"Vernon Telephone Cooperative, Inc.",131427
1375,"AlasConnect, Inc.",190019
1376,Cincinnati Bell Inc.,130254
1377,"LTO Communications, LLC",200025
1378,Television Association of Republic,290105
1379,"Nexus Systems, Inc.",260032
1380,"QCOL, Inc.",220052
1381,"Grizzly Internet, Inc.",130575
1382,Santel Communications Cooperative,131163
1383,"New Knoxville Telephone Company/GoldStar Communications, LLC",130903
1384,"Bug Tussel Wireless, LLC",300025
1385,City of Moultrie,150236
1386,WISPRENN,300173
1387,"NTELOS, Inc.",300191
1388,Horizon Telecom,130619
1389,"Cellular Properties, Inc.",190442
1390,"Cambridge Telephone Company, Inc.",130193
1391,"Geneseo Communications, Inc.",130535
1392,"Cambridge TelCom, Inc.",130192
1393,"NATCO Communications, Inc.",130882
1394,Doylestown Telephone Company,130416
1395,"Hughes Computer Services, Inc.",240046
1396,Mediapolis Telephone Company,130805
1397,VAL-ED Joint Venture L.L.P.,131408
1398,"Eastern Indiana WIFI, Inc.",130437
1399,Ellsworth Cooperative Telephone Association,130450
1400,"House Enterprises, Inc.",240045
1401,Veracity Networks,230052
1402,"HC Cable Holdings, LLC",190274
1403,Tri-County Telephone Membership Corporation,131370
1404,River Valley Telephone Coop.,131116
1405,Goldfield Telephone Company,130552
1406,Southwest Oklahoma Telephone Company,131233
1407,"Sandwich Isles Communications, Inc.",131161
1408,Citizens Telephone Cooperative (VA),130266
1409,Barry County Services Company,130097
1410,Clearcom Inc.,240021
1411,"Aerowire, Inc.",190016
1412,Vision Network,290114
1413,"Origin Networks, LLC",290077
1414,"Prime Time Ventures, LLC",170098
1415,Ironton Telephone Company,130667
1416,"Santa Rosa Telephone Cooperative, Inc.",131162
1417,Biddeford Internet Corporation,130122
1418,"Nitelog, Inc.",250061
1419,"Inventive Wireless of Nebraska, LLC",130663
1420,Southern Montana Telephone Company,131231
1421,"Blackfoot Telephone Cooperative, Inc.",130132
1422,"Trustees of the City of Muscatine, Iowa",131379
1423,"Bellaire Television Cable Company, Inc.",290002
1424,"PBT Telecom, Inc.",131125
1425,Pine Telephone Company,131039
1426,StarTouch Broadband,190342
1427,Amherst Telephone Company,130058
1428,"Integra Telecom Holdings, Inc.",130653
1429,Northeast Nebraska Telephone Company,130941
1430,ICON Technologies Inc.,130634
1431,"Telapex, Inc.",131302
1432,"Agri-Valley Communications, Inc.",130018
1433,"Orcas Online, Inc.",200057
1434,"Hotwire Communications, Ltd.",130623
1435,"West Carolina Rural Telephone Cooperative, Inc.",131459
1436,Columbia Power and Water Systems,260009
1437,Ellijay Telephone Company,150258
1438,"DC Access, LLC",150249
1439,"Curatel, LLC",190014
1440,Saddleback Communications,131148
1441,West River Cooperative Telephone Company,140101
1442,AFES Network Services LLC,270006
1443,"Kansas Broadband Internet, Inc.",300077
1444,McDonough Telephone Cooperative Inc.,130799
1445,City of Bristol,190081
1446,Beaver Creek Cooperative Telephone Company,130104
1447,Oxford Telephone and Telegraph,130993
1448,"Consolidated Companies, Inc.",240300
1449,"EOS, Inc.",270035
1450,Sebastian Enterprises,131173
